problemSize,workers,input_ms,initialisation_ms,total_ms
12288      ,5      ,15684   ,194871           ,280153
6144       ,5      ,5861    ,72842            ,106691
3072       ,5      ,3423    ,25976            ,47370
1536       ,5      ,3208    ,7396             ,25956
768        ,5      ,1560    ,1937             ,17658
12288      ,4      ,17698   ,261422           ,355772
6144       ,4      ,7674    ,83613            ,120719
3072       ,4      ,3715    ,27126            ,49280
1536       ,4      ,2496    ,8580             ,26841
768        ,4      ,1628    ,2059             ,17874
12288      ,3      ,24954   ,427906           ,545644
6144       ,3      ,8799    ,91652            ,133681
3072       ,3      ,4877    ,33036            ,56940
1536       ,3      ,3492    ,10452            ,29947
768        ,3      ,2913    ,2388             ,18836
12288      ,2      ,34394   ,511665           ,671345
6144       ,2      ,11710   ,136517           ,186638
3072       ,2      ,6852    ,37093            ,64140
1536       ,2      ,4634    ,14450            ,34293
768        ,2      ,4142    ,2988             ,20582
12288      ,1      ,66182   ,1017317          ,1312113
6144       ,1      ,20002   ,261230           ,342507
3072       ,1      ,8525    ,76754            ,109411
1536       ,1      ,6001    ,23495            ,43518
768        ,1      ,4325    ,5117             ,20517
24576      ,5      ,50205   ,873766           ,1133435
24576      ,4      ,62796   ,1048098          ,1359830
24576      ,3      ,83336   ,1231031          ,1658533
12288      ,10     ,11848   ,141756           ,205280
12288      ,9      ,10131   ,151792           ,209469
12288      ,8      ,11466   ,200863           ,263412
12288      ,7      ,11518   ,178634           ,244029
12288      ,6      ,13086   ,176472           ,248521
6144       ,10     ,4506    ,44313            ,72568
6144       ,9      ,4649    ,43445            ,71892
6144       ,8      ,4664    ,59466            ,89018
6144       ,7      ,5083    ,59911            ,89504
6144       ,6      ,5234    ,70279            ,100243
3072       ,10     ,2966    ,16377            ,37859
3072       ,9      ,3216    ,18936            ,40813
3072       ,8      ,2961    ,17949            ,39264
3072       ,7      ,2970    ,19392            ,40269
3072       ,6      ,3101    ,22856            ,43711
1536       ,10     ,1939    ,5056             ,24264
1536       ,9      ,1915    ,4943             ,24378
1536       ,8      ,2016    ,5748             ,25606
1536       ,7      ,2160    ,5874             ,24196
1536       ,6      ,2346    ,7587             ,28662
24576      ,10     ,28562   ,437892           ,584031
24576      ,9      ,30278   ,497119           ,649736
24576      ,8      ,34219   ,580086           ,752438
24576      ,7      ,38153   ,586159           ,778793
24576      ,6      ,42967   ,739814           ,946413
49152      ,10     ,100880  ,1686564          ,2214449