problemSize,workers,threads,input_ms,initialisation_ms,total_ms,ept,roundEpt
49152,10,80,100880,1686564,2214449,30198988.8,30199000
24576,3,24,83336,1231031,1658533,25165824,25166000
24576,4,32,62796,1048098,1359830,18874368,18874000
24576,5,40,50205,873766,1133435,15099494.4,15099000
24576,6,48,42967,739814,946413,12582912,12583000
24576,7,56,38153,586159,778793,10785353.14,10785000
24576,8,64,34219,580086,752438,9437184,9437000
24576,9,72,30278,497119,649736,8388608,8389000
24576,10,80,28562,437892,584031,7549747.2,7550000
12288,1,1,241646,4284814,5274159,150994944,150995000
12288,1,2,124701,2177200,2726824,75497472,75497000
12288,1,4,69624,958897,1245155,37748736,37749000
12288,1,8,66182,1017317,1312113,18874368,18874000
12288,1,8,42509,626991,805548,18874368,18874000
12288,2,16,34394,511665,671345,9437184,9437000
12288,1,16,41738,540630,698187,9437184,9437000
12288,3,24,24954,427906,545644,6291456,6291000
12288,4,32,17698,261422,355772,4718592,4719000
12288,5,40,15684,194871,280153,3774873.6,3775000
12288,6,48,13086,176472,248521,3145728,3146000
12288,7,56,11518,178634,244029,2696338.286,2696000
12288,8,64,11466,200863,263412,2359296,2359000
12288,9,72,10131,151792,209469,2097152,2097000
12288,10,80,11848,141756,205280,1887436.8,1887000
6144,1,1,59656,1139754,1393521,37748736,37749000
6144,1,2,31941,473631,622378,18874368,18874000
6144,1,4,20461,263266,346624,9437184,9437000
6144,1,8,20002,261230,342507,4718592,4719000
6144,1,8,17667,171458,231877,4718592,4719000
6144,2,16,11710,136517,186638,2359296,2359000
6144,1,16,13638,149230,201848,2359296,2359000
6144,3,24,8799,91652,133681,1572864,1573000
6144,4,32,7674,83613,120719,1179648,1180000
6144,5,40,5861,72842,106691,943718.4,944000
6144,6,48,5234,70279,100243,786432,786000
6144,7,56,5083,59911,89504,674084.5714,674000
6144,8,64,4664,59466,89018,589824,590000
6144,9,72,4649,43445,71892,524288,524000
6144,10,80,4506,44313,72568,471859.2,472000
3072,1,1,17844,324922,408295,9437184,9437000
3072,1,2,10046,144857,195099,4718592,4719000
3072,1,4,7527,90214,121231,2359296,2359000
3072,1,8,8525,76754,109411,1179648,1180000
3072,1,8,7562,49488,74482,1179648,1180000
3072,2,16,6852,37093,64140,589824,590000
3072,1,16,7383,41439,64868,589824,590000
3072,3,24,4877,33036,56940,393216,393000
3072,4,32,3715,27126,49280,294912,295000
3072,5,40,3423,25976,47370,235929.6,236000
3072,6,48,3101,22856,43711,196608,197000
3072,7,56,2970,19392,40269,168521.1429,169000
3072,8,64,2961,17949,39264,147456,147000
3072,9,72,3216,18936,40813,131072,131000
3072,10,80,2966,16377,37859,117964.8,118000
1536,1,1,5588,75449,102884,2359296,2359000
1536,1,2,3732,46299,66798,1179648,1180000
1536,1,4,6042,31725,50545,589824,590000
1536,1,8,6001,23495,43518,294912,295000
1536,1,8,5017,19241,35847,294912,295000
1536,2,16,4634,14450,34293,147456,147000
1536,1,16,8214,17586,37186,147456,147000
1536,3,24,3492,10452,29947,98304,98000
1536,4,32,2496,8580,26841,73728,74000
1536,5,40,3208,7396,25956,58982.4,59000
1536,6,48,2346,7587,28662,49152,49000
1536,7,56,2160,5874,24196,42130.28571,42000
1536,8,64,2016,5748,25606,36864,37000
1536,9,72,1915,4943,24378,32768,33000
1536,10,80,1939,5056,24264,29491.2,29000
768,1,1,2431,12729,30878,589824,590000
768,1,2,2163,6567,19975,294912,295000
768,1,4,5977,4637,21972,147456,147000
768,1,8,4325,5117,20517,73728,74000
768,1,8,4265,3146,17252,73728,74000
768,2,16,4142,2988,20582,36864,37000
768,1,16,4607,6027,20536,36864,37000
768,3,24,2913,2388,18836,24576,25000
768,4,32,1628,2059,17874,18432,18000
768,5,40,1560,1937,17658,14745.6,15000
384,1,1,1446,3293,14719,147456,147000
384,1,2,1542,1852,12788,73728,74000
384,1,4,3534,1177,13908,36864,37000
384,1,8,5989,1351,16481,18432,18000
384,1,16,5952,1621,16824,9216,9000